village_district,order,village,district,province,basin,selected,dist_iquitos,population,access,pfal2013,pmal2013,pviv2013,malaria2013,pfal2014,pmal2014,pviv2014,malaria2014,pfal2015,pmal2015,pviv2015,malaria2015,pfal2016,pmal2016,pviv2016,malaria2016,pfal2017,pviv2017,malaria2017,pfal2018,pviv2018,malaria2018,pfal2019,pviv2019,malaria2019,api.pfal2013,api.pfal2014,api.pfal2015,api.pfal2016,api.pfal2017,api.pfal2018,api.pfal2019,api.pmal2013,api.pmal2014,api.pmal2015,api.pmal2016,api.pviv2013,api.pviv2014,api.pviv2015,api.pviv2016,api.pviv2017,api.pviv2018,api.pviv2019,api.malaria2013,api.malaria2014,api.malaria2015,api.malaria2016,api.malaria2017,api.malaria2018,api.malaria2019,XGD,YGD,dist_minutes_cat3,dist_minutes_cat2,dist_minutes_cat1,dist_minutes_all,urban,landc,cobVeg,cobVeg_simbol,pop2k,pop5k
VILLA FLOR_ALTO NANAY,99,VILLA FLOR,ALTO NANAY,MAYNAS,Chambira,No,214241,113,NA,1,0,8,9,6,0,22,28,1,0,10,11,0,0,4,4,5,3,8,5,8,13,0,2,2,8.849557522,53.09734513,8.849557522,0,44.24778761,44.24778761,0,0,0,0,0,70.79646018,194.6902655,88.49557522,35.39823009,26.54867257,70.79646018,17.69911504,79.6460177,247.7876106,97.34513274,35.39823009,70.79646018,115.0442478,17.69911504,-73.81011521,-3.4320575,941,924,568,568,0,2,Agricultura costera y andina,Agri,81.61506418,421.5218174
NUEVO ATALAYA_ALTO NANAY,100,NUEVO ATALAYA,ALTO NANAY,MAYNAS,Chambira,No,NA,193,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,3,3,0,1,1,0,2,2,0,0,5.18134715,0,0,0,0,0,0,0,0,0,0,0,5.18134715,15.54404145,5.18134715,10.3626943,0,0,5.18134715,5.18134715,15.54404145,5.18134715,10.3626943,-73.8301539,-3.40843952,706,690,333,333,0,2,Pajonal andino,Pj,77.45787217,391.4510625
NUEVA VIDA_ALTO NANAY,101,NUEVA VIDA,ALTO NANAY,MAYNAS,Chambira,No,NA,NA,NA,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.90454302,-3.3462559,1111,1095,739,739,0,2,Bofedal,Bo,32.30816262,209.32211
CHORRILLOS_ALTO NANAY,102,CHORRILLOS,ALTO NANAY,MAYNAS,Chambira,No,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.94875777,-3.3145684,1179,1163,806,806,0,2,Matorral arbustivo,Ma,23.86998921,148.1717806
DOS UNIDOS_ALTO NANAY,103,DOS UNIDOS,ALTO NANAY,MAYNAS,Chambira,No,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.99474378,-3.27224502,674,658,535,535,0,2,Bofedal,Bo,21.89912734,133.6786017
NUEVO PORVENIR_ALTO NANAY,104,NUEVO PORVENIR,ALTO NANAY,MAYNAS,Chambira,No,NA,50,NA,0,0,8,8,2,0,1,3,0,0,17,17,0,0,1,1,3,9,12,2,4,6,0,0,0,0,40,0,0,60,40,0,0,0,0,0,160,20,340,20,180,80,0,160,60,340,20,240,120,0,-74.13184714,-3.08395139,1713,1697,1340,1340,0,2,Pajonal andino,Pj,20.55617452,127.2507029
NUEVA PRIMAVERA_PUNCHANA,105,NUEVA PRIMAVERA,PUNCHANA,MAYNAS,Momon,No,NA,35,NA,0,0,4,4,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.2857143,57.14285714,28.57142857,28.57142857,0,0,0,114.2857143,57.14285714,28.57142857,28.57142857,0,0,0,-73.40756188,-3.70172273,433,416,317,317,0,2,Agricultura costera y andina,Agri,194.773841,1132.638044
FRAY MARTIN_PUNCHANA,106,FRAY MARTIN,PUNCHANA,MAYNAS,Momon,Yes,32822,77,NA,0,0,4,4,0,0,6,6,0,0,6,6,1,0,2,3,0,6,6,5,11,16,0,2,2,0,0,0,17.54385965,0,87.71929825,0,0,0,0,0,70.1754386,105.2631579,105.2631579,35.0877193,105.2631579,192.9824561,35.0877193,70.1754386,105.2631579,105.2631579,52.63157895,105.2631579,280.7017544,35.0877193,-73.38177373,-3.690831489,NA,NA,NA,NA,NA,NA,NA,NA,206.0500007,1312.088053
SAN ANDRES_PUNCHANA,107,SAN ANDRES,PUNCHANA,MAYNAS,Momon,No,12227,89,24.14987508,6,0,69,75,3,0,91,94,8,0,45,53,5,0,15,20,0,34,34,7,37,44,1,1,2,67.41573034,33.70786517,89.88764045,56.17977528,0,78.65168539,11.23595506,0,0,0,0,775.2808989,1022.47191,505.6179775,168.5393258,382.0224719,415.7303371,11.23595506,842.6966292,1056.179775,595.505618,224.7191011,382.0224719,494.3820225,22.47191011,-73.29110366,-3.68473316,75,70,46,46,0,2,Matorral arbustivo,Ma,400.2706755,2669.469422
PROGRESO ZONA 2_PUNCHANA,108,PROGRESO ZONA 2,PUNCHANA,MAYNAS,Momon,No,NA,129,NA,0,0,6,6,0,0,3,3,0,0,4,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.51162791,23.25581395,31.00775194,0,0,15.50387597,0,46.51162791,23.25581395,31.00775194,0,0,15.50387597,0,-73.34039559,-3.67278397,NA,NA,NA,NA,NA,NA,NA,NA,275.553875,1568.238888
MOMONCILLO_PUNCHANA,109,MOMONCILLO,PUNCHANA,MAYNAS,Momon,Yes,13444,137,16.29444999,17,0,189,206,26,0,204,230,36,0,90,126,21,0,53,74,14,91,105,10,119,129,0,20,20,124.0875912,189.7810219,262.7737226,153.2846715,102.189781,72.99270073,0,0,0,0,0,1379.562044,1489.051095,656.9343066,386.8613139,664.2335766,868.6131387,145.9854015,1503.649635,1678.832117,919.7080292,540.1459854,766.4233577,941.6058394,145.9854015,-73.26928472,-3.67263588,60,55,48,48,0,2,Areas de no bosque amazï¿½nico,Ano,525.5871028,2390.814234
PROGRESO ZONA 1_PUNCHANA,110,PROGRESO ZONA 1,PUNCHANA,MAYNAS,Momon,No,26974,42,NA,5,0,72,77,13,0,56,69,3,0,30,33,5,0,15,20,1,8,9,6,12,18,0,2,2,119.047619,309.5238095,71.42857143,119.047619,23.80952381,142.8571429,0,0,0,0,0,1714.285714,1333.333333,714.2857143,357.1428571,190.4761905,285.7142857,47.61904762,1833.333333,1642.857143,785.7142857,476.1904762,214.2857143,428.5714286,47.61904762,-73.32574,-3.67066215,NA,NA,NA,NA,NA,NA,NA,NA,289.6937511,1742.080625
PORVENIR_PUNCHANA,111,PORVENIR,PUNCHANA,MAYNAS,Momon,No,21314,86,108.3104741,3,0,61,64,17,0,79,96,15,0,27,42,7,0,20,27,7,43,50,7,25,32,0,2,2,34.88372093,197.6744186,174.4186047,81.39534884,81.39534884,81.39534884,0,0,0,0,0,709.3023256,918.6046512,313.9534884,232.5581395,500,290.6976744,23.25581395,744.1860465,1116.27907,488.372093,313.9534884,581.3953488,372.0930233,23.25581395,-73.29681417,-3.6566504,109,104,27,27,0,2,Areas de no bosque amazï¿½nico,Ano,327.8600887,2204.954151
SANTA ROSA_PUNCHANA,112,SANTA ROSA,PUNCHANA,MAYNAS,Momon,No,23111,45,156.5543749,2,0,18,20,26,0,34,60,9,0,44,53,33,0,114,147,7,66,73,7,23,30,1,2,3,44.44444444,577.7777778,200,733.3333333,155.5555556,155.5555556,22.22222222,0,0,0,0,400,755.5555556,977.7777778,2533.333333,1466.666667,511.1111111,44.44444444,444.4444444,1333.333333,1177.777778,3266.666667,1622.222222,666.6666667,66.66666667,-73.30787923,-3.65130349,111,106,8,8,0,2,Pajonal andino,Pj,271.27194,1890.848004
NUEVO SAN ANTONIO_PUNCHANA,113,NUEVO SAN ANTONIO,PUNCHANA,MAYNAS,Momon,No,NA,87,NA,12,0,49,61,42,0,102,144,10,0,42,52,2,0,6,8,6,37,43,1,13,14,0,0,0,137.9310345,482.7586207,114.9425287,22.98850575,68.96551724,11.49425287,0,0,0,0,0,563.2183908,1172.413793,482.7586207,68.96551724,425.2873563,149.4252874,0,701.1494253,1655.172414,597.7011494,91.95402299,494.2528736,160.9195402,0,-73.33319476,-3.64587537,143,139,23,23,0,2,Pajonal andino,Pj,222.2469275,1458.214084
PICURO YACU_PUNCHANA,114,PICURO YACU,PUNCHANA,MAYNAS,Momon,No,21230,342,NA,3,0,52,55,4,0,31,35,2,0,15,17,1,0,5,6,1,8,9,1,11,12,0,7,7,8.771929825,11.69590643,5.847953216,2.923976608,2.923976608,2.923976608,0,0,0,0,0,152.0467836,90.64327485,43.85964912,14.61988304,23.39181287,32.16374269,20.46783626,160.8187135,102.3391813,49.70760234,17.54385965,26.31578947,35.0877193,20.46783626,-73.26023067,-3.63993129,56,51,40,40,0,10,Matorral arbustivo,Ma,474.9629078,2115.822975
NUEVO PARAISO_PUNCHANA,115,NUEVO PARAISO,PUNCHANA,MAYNAS,Momon,No,51960,54,NA,2,0,6,8,0,0,2,2,4,0,3,7,1,0,9,10,1,3,4,0,3,3,0,0,0,37.03703704,0,74.07407407,18.51851852,18.51851852,0,0,0,0,0,0,111.1111111,37.03703704,55.55555556,166.6666667,55.55555556,55.55555556,0,148.1481481,37.03703704,129.6296296,185.1851852,74.07407407,55.55555556,0,-73.46431116,-3.63671494,652,648,532,532,0,2,Pajonal andino,Pj,132.7575595,678.5080671
FLOR DE AGOSTO_PUNCHANA,116,FLOR DE AGOSTO,PUNCHANA,MAYNAS,Momon,No,31800,47,250.3790273,23,0,50,73,12,0,41,53,3,0,22,25,2,0,16,18,3,21,24,13,24,37,1,4,5,489.3617021,255.3191489,63.82978723,42.55319149,63.82978723,276.5957447,21.27659574,0,0,0,0,1063.829787,872.3404255,468.0851064,340.4255319,446.8085106,510.6382979,85.10638298,1553.191489,1127.659574,531.9148936,382.9787234,510.6382979,787.2340426,106.3829787,-73.34517844,-3.63324797,175,170,55,55,0,2,Pajonal andino,Pj,194.9235847,1265.349481
PUERTO GEN GEN_PUNCHANA,117,PUERTO GEN GEN,PUNCHANA,MAYNAS,Momon,No,29002,89,NA,12,0,52,64,13,0,53,66,18,0,50,68,17,0,34,51,10,37,47,3,11,14,0,34,34,134.8314607,146.0674157,202.247191,191.011236,112.3595506,33.70786517,0,0,0,0,0,584.2696629,595.505618,561.7977528,382.0224719,415.7303371,123.5955056,382.0224719,719.1011236,741.5730337,764.0449438,573.0337079,528.0898876,157.3033708,382.0224719,-73.33093881,-3.63087045,147,142,27,27,0,2,Area urbana,U,214.6597273,1347.904652
SAN ANTONIO_PUNCHANA,118,SAN ANTONIO,PUNCHANA,MAYNAS,Momon,No,22775,70,951.0004249,3,0,11,14,1,0,5,6,0,0,4,4,3,0,13,16,4,15,19,8,52,60,0,5,5,42.85714286,14.28571429,0,42.85714286,57.14285714,114.2857143,0,0,0,0,0,157.1428571,71.42857143,57.14285714,185.7142857,214.2857143,742.8571429,71.42857143,200,85.71428571,57.14285714,228.5714286,271.4285714,857.1428571,71.42857143,-73.25994,-3.627738333,88,84,72,72,0,2,Rï¿½o,R,417.2779428,2069.642999
CENTRO FUERTE_PUNCHANA,119,CENTRO FUERTE,PUNCHANA,MAYNAS,Momon,Yes,30002,144,283.1246267,31,0,108,139,40,0,123,163,38,0,93,131,23,0,85,108,49,101,150,9,73,82,1,27,28,215.2777778,277.7777778,263.8888889,159.7222222,340.2777778,62.5,6.944444444,0,0,0,0,750,854.1666667,645.8333333,590.2777778,701.3888889,506.9444444,187.5,965.2777778,1131.944444,909.7222222,750,1041.666667,569.4444444,194.4444444,-73.32752018,-3.6250512,170,165,50,50,0,2,Agricultura costera y andina,Agri,215.8537545,1333.900014
PROGRESO_PUNCHANA,120,PROGRESO,PUNCHANA,MAYNAS,Momon,No,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.35239303,-3.61568302,NA,NA,NA,NA,NA,NA,NA,NA,176.6854444,1122.657241
ROCA FUERTE_PUNCHANA,121,ROCA FUERTE,PUNCHANA,MAYNAS,Momon,No,32883,34,340.7150009,6,0,20,26,5,0,34,39,2,0,35,37,8,0,18,26,1,19,20,2,11,13,0,1,1,176.4705882,147.0588235,58.82352941,235.2941176,29.41176471,58.82352941,0,0,0,0,0,588.2352941,1000,1029.411765,529.4117647,558.8235294,323.5294118,29.41176471,764.7058824,1147.058824,1088.235294,764.7058824,588.2352941,382.3529412,29.41176471,-73.3388814,-3.61547109,166,161,46,46,0,2,Agricultura costera y andina,Agri,197.7634483,1177.522143
8 DE SETIEMBRE_PUNCHANA,122,8 DE SETIEMBRE,PUNCHANA,MAYNAS,Momon,No,NA,41,NA,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.7804878,24.3902439,24.3902439,0,0,0,0,48.7804878,24.3902439,24.3902439,0,0,0,-73.40900833,-3.614221666,NA,NA,NA,NA,NA,NA,NA,NA,163.0970608,896.7975141
SAN JUAN_PUNCHANA,123,SAN JUAN,PUNCHANA,MAYNAS,Momon,No,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.40509342,-3.61268737,380,375,260,260,0,2,Agricultura costera y andina,Agri,165.2612017,907.6382307
HIPOLITO UNANUE_PUNCHANA,124,HIPOLITO UNANUE,PUNCHANA,MAYNAS,Momon,No,35479,26,387.3749759,12,0,49,61,5,0,24,29,5,0,11,16,2,0,5,7,0,6,6,3,16,19,0,2,2,461.5384615,192.3076923,192.3076923,76.92307692,0,115.3846154,0,0,0,0,0,1884.615385,923.0769231,423.0769231,192.3076923,230.7692308,615.3846154,76.92307692,2346.153846,1115.384615,615.3846154,269.2307692,230.7692308,730.7692308,76.92307692,-73.34883972,-3.60758829,184,179,64,64,0,2,Pajonal andino,Pj,181.310999,1100.860202
GRAU DE PAMPA HERMOSA_PUNCHANA,125,GRAU DE PAMPA HERMOSA,PUNCHANA,MAYNAS,Momon,No,40015,35,476.3000009,12,0,18,30,3,0,8,11,3,0,2,5,4,0,5,9,0,0,0,4,5,9,0,0,0,342.8571429,85.71428571,85.71428571,114.2857143,0,114.2857143,0,0,0,0,0,514.2857143,228.5714286,57.14285714,142.8571429,0,142.8571429,0,857.1428571,314.2857143,142.8571429,257.1428571,0,257.1428571,0,-73.3654427,-3.59135315,279,274,159,159,0,2,Pajonal andino,Pj,169.0900947,993.5138182
SANTO TOMAS DE CAPIRONAL_PUNCHANA,126,SANTO TOMAS DE CAPIRONAL,PUNCHANA,MAYNAS,Momon,No,42721,78,NA,0,0,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,0,0,0,0,0,0,12.82051282,0,0,0,0,89.74358974,12.82051282,0,0,0,0,128.2051282,89.74358974,12.82051282,0,0,0,0,141.025641,-73.36174061,-3.57877907,317,312,197,197,0,2,Areas de no bosque amazï¿½nico,Ano,167.6773402,957.1113758
ALMIRANTE MIGUEL GRAU_PUNCHANA,127,ALMIRANTE MIGUEL GRAU,PUNCHANA,MAYNAS,Momon,No,45762,28,NA,4,0,20,24,10,0,16,26,3,0,14,17,1,0,5,6,0,3,3,2,4,6,0,3,3,142.8571429,357.1428571,107.1428571,35.71428571,0,71.42857143,0,0,0,0,0,714.2857143,571.4285714,500,178.5714286,107.1428571,142.8571429,107.1428571,857.1428571,928.5714286,607.1428571,214.2857143,107.1428571,214.2857143,107.1428571,-73.37300504,-3.57046308,369,364,249,249,0,2,Agricultura costera y andina,Agri,157.5278253,910.4636134
UNION FAMILIAR_PUNCHANA,128,UNION FAMILIAR,PUNCHANA,MAYNAS,Momon,No,51334,53,671.1011007,7,0,17,24,9,0,18,27,3,0,9,12,4,0,5,9,0,3,3,1,14,15,0,0,0,132.0754717,169.8113208,56.60377358,75.47169811,0,18.86792453,0,0,0,0,0,320.754717,339.6226415,169.8113208,94.33962264,56.60377358,264.1509434,0,452.8301887,509.4339623,226.4150943,169.8113208,56.60377358,283.0188679,0,-73.38096847,-3.54480853,496,492,205,205,0,2,Bofedal,Bo,138.4648339,825.3031913
PUERTO ALICIA_PUNCHANA,129,PUERTO ALICIA,PUNCHANA,MAYNAS,Momon,No,54916,86,694.6449992,1,0,34,35,14,0,47,61,6,0,25,31,9,0,20,29,7,10,17,0,17,17,0,4,4,11.62790698,162.7906977,69.76744186,104.6511628,81.39534884,0,0,0,0,0,0,395.3488372,546.5116279,290.6976744,232.5581395,116.2790698,197.6744186,46.51162791,406.9767442,709.3023256,360.4651163,337.2093023,197.6744186,197.6744186,46.51162791,-73.37837778,-3.52795441,564,560,153,153,0,2,Agricultura costera y andina,Agri,134.943584,790.3502996
SAN LUIS DE VISTA ALEGRE_PUNCHANA,130,SAN LUIS DE VISTA ALEGRE,PUNCHANA,MAYNAS,Momon,No,NA,173,NA,5,0,45,50,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,28.9017341,0,0,0,0,0,0,0,0,0,0,260.1156069,5.780346821,0,5.780346821,5.780346821,0,5.780346821,289.017341,5.780346821,0,5.780346821,5.780346821,0,5.780346821,-73.38680372,-3.52532213,579,574,127,127,0,2,Matorral arbustivo,Ma,133.6291028,765.8565404
AGRARIO SHIMBILLO_PUNCHANA,131,AGRARIO SHIMBILLO,PUNCHANA,MAYNAS,Momon,No,73601,15,NA,0,0,2,2,1,0,6,7,0,0,2,2,1,0,1,2,0,4,4,1,1,2,0,1,1,0,66.66666667,0,66.66666667,0,66.66666667,0,0,0,0,0,133.3333333,400,133.3333333,66.66666667,266.6666667,66.66666667,66.66666667,133.3333333,466.6666667,133.3333333,133.3333333,266.6666667,133.3333333,66.66666667,-73.48391838,-3.52177535,NA,NA,NA,NA,NA,NA,NA,NA,87.96890917,464.8055589
SARGENTO LORES_PUNCHANA,132,SARGENTO LORES,PUNCHANA,MAYNAS,Momon,Yes,57514,238,814.6162499,6,0,80,86,5,0,52,57,8,0,32,40,3,0,20,23,6,42,48,4,46,50,4,17,21,25.21008403,21.00840336,33.61344538,12.60504202,25.21008403,16.80672269,16.80672269,0,0,0,0,336.1344538,218.487395,134.4537815,84.03361345,176.4705882,193.2773109,71.42857143,361.3445378,239.4957983,168.0672269,96.63865546,201.6806723,210.0840336,88.23529412,-73.40008209,-3.51080327,658,654,49,49,0,8,Areas de no bosque amazï¿½nico,Ano,123.3971147,703.7574171
PUNTO ALEGRE_PUNCHANA,133,PUNTO ALEGRE,PUNCHANA,MAYNAS,Momon,Yes,63861,241,936.8358744,25,0,146,171,15,0,136,151,8,0,104,112,3,0,106,109,15,131,146,26,102,128,28,74,102,103.7344398,62.2406639,33.19502075,12.44813278,62.2406639,107.8838174,116.1825726,0,0,0,0,605.8091286,564.3153527,431.5352697,439.8340249,543.5684647,423.2365145,307.0539419,709.5435685,626.5560166,464.7302905,452.2821577,605.8091286,531.120332,423.2365145,-73.42590303,-3.49859688,761,756,53,53,0,2,Areas de no bosque amazï¿½nico,Ano,108.4000152,629.6725197
ALFONSO UGARTE_PUNCHANA,134,ALFONSO UGARTE,PUNCHANA,MAYNAS,Momon,No,NA,32,NA,0,0,1,1,1,0,4,5,0,0,1,1,0,0,0,0,0,2,2,0,2,2,0,0,0,0,31.25,0,0,0,0,0,0,0,0,0,31.25,125,31.25,0,62.5,62.5,0,31.25,156.25,31.25,0,62.5,62.5,0,-73.33156451,-3.49796381,605,600,117,117,0,2,Agricultura costera y andina,Agri,129.9020346,724.3983235
ALMIRANTE GUISSE_PUNCHANA,135,ALMIRANTE GUISSE,PUNCHANA,MAYNAS,Momon,No,NA,14,NA,2,0,5,7,2,0,11,13,0,0,1,1,0,0,14,14,0,6,6,0,2,2,0,0,0,142.8571429,142.8571429,0,0,0,0,0,0,0,0,0,357.1428571,785.7142857,71.42857143,1000,428.5714286,142.8571429,0,500,928.5714286,71.42857143,1000,428.5714286,142.8571429,0,-73.43880667,-3.49298707,806,801,26,26,0,2,Pajonal andino,Pj,104.5417636,595.0446325
MAYNAS_PUNCHANA,136,MAYNAS,PUNCHANA,MAYNAS,Momon,No,68470,132,NA,2,0,17,19,5,0,17,22,4,0,20,24,6,0,18,24,1,8,9,3,6,9,0,1,1,15.15151515,37.87878788,30.3030303,45.45454545,7.575757576,22.72727273,0,0,0,0,0,128.7878788,128.7878788,151.5151515,136.3636364,60.60606061,45.45454545,7.575757576,143.9393939,166.6666667,181.8181818,181.8181818,68.18181818,68.18181818,7.575757576,-73.44445239,-3.48313529,868,863,54,54,0,2,Bosque de colina baja,Bcb,103.3406027,570.307077
NUEVA YORK_PUNCHANA,137,NUEVA YORK,PUNCHANA,MAYNAS,Momon,Yes,75057,145,1203.846249,16,0,100,116,25,0,89,114,7,0,33,40,4,0,91,95,10,41,51,46,77,123,20,29,49,110.3448276,172.4137931,48.27586207,27.5862069,68.96551724,317.2413793,137.9310345,0,0,0,0,689.6551724,613.7931034,227.5862069,627.5862069,282.7586207,531.0344828,200,800,786.2068966,275.862069,655.1724138,351.7241379,848.2758621,337.9310345,-73.46697808,-3.45323033,1018,1014,205,205,0,2,Agricultura costera y andina,Agri,87.45780026,466.1360739
